Model,Accuracy,F1 (macro),Precision,Recall,Train Time (s)
Gradient Boosting,0.9324095022624435,0.9439377673231888,0.9425181413921437,0.9454259191582395,129.63
LightGBM,0.9338235294117647,0.9437921125673717,0.9418992475041569,0.9457452267445036,4.01
XGBoost,0.9304298642533937,0.9409244469477622,0.9382201675379325,0.9438390508533692,2.66
Random Forest,0.9301470588235294,0.939848799035653,0.9377097867205623,0.9422458381382618,1.53
